"country","iso3_code","original_region"
"Afghanistan","AFG","South Asia"
"Algeria","DZA","North Africa"
"American Samoa","ASM","Oceania"
"Argentina","ARG","South America"
"Armenia","ARM","Former USSR"
"Australia","AUS","Oceania"
"Australia","AUS","Australia"
"Australia","AUS","Australia New South Wales South East"
"Australia","AUS","Australia New South Wales South West"
"Australia","AUS","Australia South Australia Lower EP"
"Australia","AUS","Australia South Australia Mid North"
"Australia","AUS","Australia South Australia Murray Mallee"
"Australia","AUS","Australia South Australia South East"
"Australia","AUS","Australia South Australia Upper EP"
"Australia","AUS","Australia South Australia Yorke Penn."
"Australia","AUS","Australia Victoria Mallee"
"Australia","AUS","Australia Victoria North Central"
"Australia","AUS","Australia Victoria North East"
"Australia","AUS","Australia Victoria Wimmera"
"Austria","AUT","OECD Europe"
"Austria","AUT","European Union and United Kingdom"
"Azerbaijan","AZE","Former USSR"
"Bahrain","BHR","Middle East"
"Bangladesh","BGD","South Asia"
"Belarus","BLR","Eastern Europe"
"Belarus","BLR","Former USSR"
"Belgium","BEL","OECD Europe"
"Belgium","BEL","European Union and United Kingdom"
"Belize","BLZ","Central America"
"Benin","BEN","West Africa"
"Bhutan","BTN","South Asia"
"Bolivia","BOL","South America"
"Botswana","BWA","Southern Africa"
"Bouvet Island","BVT","South America"
"Brazil","BRA","South America"
"Brunei","BRN","Southeast Asia"
"Brunei","BRN","South and South East Asia"
"Bulgaria","BGR","Eastern Europe"
"Bulgaria","BGR","European Union and United Kingdom"
"Burkina Faso","BFA","West Africa"
"Burundi","BDI","East Africa"
"Cambodia","KHM","Southeast Asia"
"Cambodia","KHM","South and South East Asia"
"Canada","CAN","Canada"
"Canada","CAN","North America"
"Cape Verde","CPV","West Africa"
"Chile","CHL","South America"
"China","CHN","East Asia"
"China","CHN","Southeast Asia"
"China","CHN","South and South East Asia"
"Christmas Island","CXR","Oceania"
"Colombia","COL","South America"
"Comoros","COM","East Africa"
"Cook Islands","COK","Oceania"
"Costa Rica","CRI","Central America"
"Costa Rica","CRI","Atlantic Zone of Costa Rica"
"Ivory Coast","CIV","West Africa"
"Croatia","HRV","European Union and United Kingdom"
"Cyprus","CYP","Middle East"
"Cyprus","CYP","European Union and United Kingdom"
"Czech Republic","CZE","Eastern Europe"
"Czech Republic","CZE","OECD Europe"
"Czech Republic","CZE","European Union and United Kingdom"
"Denmark","DNK","OECD Europe"
"Denmark","DNK","European Union and United Kingdom"
"Djibouti","DJI","East Africa"
"Ecuador","ECU","South America"
"Egypt","EGY","Middle East"
"Egypt","EGY","North Africa"
"El Salvador","SLV","Central America"
"Eritrea","ERI","East Africa"
"Estonia","EST","Former USSR"
"Estonia","EST","OECD Europe"
"Estonia","EST","European Union and United Kingdom"
"Ethiopia","ETH","East Africa"
"Ethiopia","ETH","Ethiopia"
"Falkland Islands (Malvinas)","FLK","South America"
"Fiji","FJI","Oceania"
"Finland","FIN","OECD Europe"
"Finland","FIN","European Union and United Kingdom"
"France","FRA","OECD Europe"
"France","FRA","European Union and United Kingdom"
"French Guiana","GUF","South America"
"French Polynesia","PYF","Oceania"
"French Southern Territories","ATF","East Africa"
"Gambia","GMB","West Africa"
"Georgia","GEO","Former USSR"
"Germany","DEU","OECD Europe"
"Ghana","GHA","West Africa"
"Ghana","GHA","Ghana"
"Greece","GRC","OECD Europe"
"Greece","GRC","European Union and United Kingdom"
"Guam","GUM","Oceania"
"Guatemala","GTM","Central America"
"Guinea","GIN","West Africa"
"Guinea-Bissau","GNB","West Africa"
"Heard Island and McDonald Islands","HMD","Oceania"
"Honduras","HND","Central America"
"Hong Kong","HKG","East Asia"
"Hong Kong","HKG","Southeast Asia"
"Hong Kong","HKG","South and South East Asia"
"Hungary","HUN","Eastern Europe"
"Hungary","HUN","OECD Europe"
"Hungary","HUN","European Union and United Kingdom"
"Iceland","ISL","OECD Europe"
"India","IND","South Asia"
"India","IND","India Odisha"
"India","IND","India"
"Indonesia","IDN","Southeast Asia"
"Indonesia","IDN","South and South East Asia"
"Iran, Islamic Republic of","IRN","Middle East"
"Iran, Islamic Republic of","IRN","South Asia"
"Iraq","IRQ","Middle East"
"Ireland","IRL","OECD Europe"
"Ireland","IRL","European Union and United Kingdom"
"Israel","ISR","Middle East"
"Italy","ITA","OECD Europe"
"Italy","ITA","European Union and United Kingdom"
"Japan","JPN","East Asia"
"Japan","JPN","Japan"
"Japan","JPN","Southeast Asia"
"Japan","JPN","South and South East Asia"
"Jordan","JOR","Middle East"
"Kazakhstan","KAZ","Former USSR"
"Kenya","KEN","East Africa"
"Kenya","KEN","Kenya"
"Kiribati","KIR","Oceania"
"Korea, Democratic People's Republic of","PRK","East Asia"
"Korea, Democratic People's Republic of","PRK","Southeast Asia"
"Korea, Democratic People's Republic of","PRK","South and South East Asia"
"South Korea","KOR","East Asia"
"South Korea","KOR","Southeast Asia"
"South Korea","KOR","South and South East Asia"
"Kuwait","KWT","Middle East"
"Kyrgyzstan","KGZ","Former USSR"
"Lao People's Democratic Republic","LAO","Southeast Asia"
"Lao People's Democratic Republic","LAO","South and South East Asia"
"Latvia","LVA","Former USSR"
"Latvia","LVA","OECD Europe"
"Latvia","LVA","European Union and United Kingdom"
"Lebanon","LBN","Middle East"
"Lesotho","LSO","Southern Africa"
"Liberia","LBR","West Africa"
"Libya","LBY","North Africa"
"Lithuania","LTU","Former USSR"
"Lithuania","LTU","European Union and United Kingdom"
"Luxembourg","LUX","OECD Europe"
"Luxembourg","LUX","European Union and United Kingdom"
"Macao","MAC","Southeast Asia"
"Macao","MAC","South and South East Asia"
"Macedonia, the former Yugoslav Republic of","MKD","North Macedonia"
"Madagascar","MDG","East Africa"
"Malawi","MWI","East Africa"
"Malawi","MWI","Malawi"
"Malaysia","MYS","Southeast Asia"
"Malaysia","MYS","South and South East Asia"
"Maldives","MDV","South Asia"
"Mali","MLI","West Africa"
"Mali","MLI","Mali"
"Malta","MLT","European Union and United Kingdom"
"Marshall Islands","MHL","Oceania"
"Mauritania","MRT","West Africa"
"Mauritius","MUS","East Africa"
"Mayotte","MYT","East Africa"
"Mexico","MEX","Central America"
"Micronesia, Federated States of","FSM","Oceania"
"Moldova, Republic of","MDA","Eastern Europe"
"Moldova, Republic of","MDA","Former USSR"
"Mongolia","MNG","East Asia"
"Mongolia","MNG","Southeast Asia"
"Mongolia","MNG","South and South East Asia"
"Morocco","MAR","North Africa"
"Myanmar","MMR","Southeast Asia"
"Myanmar","MMR","South and South East Asia"
"Namibia","NAM","Southern Africa"
"Nauru","NRU","Oceania"
"Nepal","NPL","South Asia"
"Netherlands","NLD","OECD Europe"
"Netherlands","NLD","European Union and United Kingdom"
"New Caledonia","NCL","Oceania"
"New Zealand","NZL","Oceania"
"Nicaragua","NIC","Central America"
"Niger","NER","West Africa"
"Nigeria","NGA","West Africa"
"Niue","NIU","Oceania"
"Norfolk Island","NFK","Oceania"
"Northern Mariana Islands","MNP","Oceania"
"Norway","NOR","OECD Europe"
"Oman","OMN","Middle East"
"Pakistan","PAK","South Asia"
"Palau","PLW","Oceania"
"Palestinian Territory, Occupied","PSE","Middle East"
"Panama","PAN","Central America"
"Paraguay","PRY","South America"
"Peru","PER","South America"
"Philippines","PHL","Southeast Asia"
"Philippines","PHL","South and South East Asia"
"Pitcairn","PCN","Oceania"
"Poland","POL","Eastern Europe"
"Poland","POL","OECD Europe"
"Poland","POL","European Union and United Kingdom"
"Portugal","PRT","Oceania"
"Portugal","PRT","OECD Europe"
