"country","iso3_code","original_region"
"Afghanistan","AFG","South Asia"
"Algeria","DZA","North Africa"
"American Samoa","ASM","Oceania"
"Argentina","ARG","South America"
"Armenia","ARM","Former USSR"
"Australia","AUS","Oceania| Australia| Australia New South Wales South East| Australia New South Wales South West| Australia South Australia Lower EP| Australia South Australia Mid North| Australia South Australia Murray Mallee| Australia South Australia South East| Australia South Australia Upper EP| Australia South Australia Yorke Penn.| Australia Victoria Mallee| Australia Victoria North Central| Australia Victoria North East| Australia Victoria Wimmera"
"Austria","AUT","OECD Europe| European Union and United Kingdom"
"Azerbaijan","AZE","Former USSR"
"Bahrain","BHR","Middle East"
"Bangladesh","BGD","South Asia"
"Belarus","BLR","Eastern Europe| Former USSR"
"Belgium","BEL","OECD Europe| European Union and United Kingdom"
"Belize","BLZ","Central America"
"Benin","BEN","West Africa"
"Bhutan","BTN","South Asia"
"Bolivia","BOL","South America"
"Botswana","BWA","Southern Africa"
"Bouvet Island","BVT","South America"
"Brazil","BRA","South America"
"Brunei","BRN","Southeast Asia| South and South East Asia"
"Bulgaria","BGR","Eastern Europe| European Union and United Kingdom"
"Burkina Faso","BFA","West Africa"
"Burundi","BDI","East Africa"
"Cambodia","KHM","Southeast Asia| South and South East Asia"
"Canada","CAN","Canada| North America"
"Cape Verde","CPV","West Africa"
"Chile","CHL","South America"
"China","CHN","East Asia| Southeast Asia| South and South East Asia"
"Christmas Island","CXR","Oceania"
"Colombia","COL","South America"
"Comoros","COM","East Africa"
"Cook Islands","COK","Oceania"
"Costa Rica","CRI","Central America| Atlantic Zone of Costa Rica"
"Croatia","HRV","European Union and United Kingdom"
"Cyprus","CYP","Middle East| European Union and United Kingdom"
"Czech Republic","CZE","Eastern Europe| OECD Europe| European Union and United Kingdom"
"Denmark","DNK","OECD Europe| European Union and United Kingdom"
"Djibouti","DJI","East Africa"
"Ecuador","ECU","South America"
"Egypt","EGY","Middle East| North Africa"
"El Salvador","SLV","Central America"
"Eritrea","ERI","East Africa"
"Estonia","EST","Former USSR| OECD Europe| European Union and United Kingdom"
"Ethiopia","ETH","East Africa| Ethiopia"
"Falkland Islands (Malvinas)","FLK","South America"
"Fiji","FJI","Oceania"
"Finland","FIN","OECD Europe| European Union and United Kingdom"
"France","FRA","OECD Europe| European Union and United Kingdom"
"French Guiana","GUF","South America"
"French Polynesia","PYF","Oceania"
"French Southern Territories","ATF","East Africa"
"Gambia","GMB","West Africa"
"Georgia","GEO","Former USSR"
"Germany","DEU","OECD Europe"
"Ghana","GHA","West Africa| Ghana"
"Greece","GRC","OECD Europe| European Union and United Kingdom"
"Guam","GUM","Oceania"
"Guatemala","GTM","Central America"
"Guinea","GIN","West Africa"
"Guinea-Bissau","GNB","West Africa"
"Heard Island and McDonald Islands","HMD","Oceania"
"Honduras","HND","Central America"
"Hong Kong","HKG","East Asia| Southeast Asia| South and South East Asia"
"Hungary","HUN","Eastern Europe| OECD Europe| European Union and United Kingdom"
"Iceland","ISL","OECD Europe"
"India","IND","South Asia| India Odisha| India"
"Indonesia","IDN","Southeast Asia| South and South East Asia"
"Iran, Islamic Republic of","IRN","Middle East| South Asia"
"Iraq","IRQ","Middle East"
"Ireland","IRL","OECD Europe| European Union and United Kingdom"
"Israel","ISR","Middle East"
"Italy","ITA","OECD Europe| European Union and United Kingdom"
"Ivory Coast","CIV","West Africa"
"Japan","JPN","East Asia| Japan| Southeast Asia| South and South East Asia"
"Jordan","JOR","Middle East"
"Kazakhstan","KAZ","Former USSR"
"Kenya","KEN","East Africa| Kenya"
"Kiribati","KIR","Oceania"
"Korea, Democratic People's Republic of","PRK","East Asia| Southeast Asia| South and South East Asia"
"Kuwait","KWT","Middle East"
"Kyrgyzstan","KGZ","Former USSR"
"Lao People's Democratic Republic","LAO","Southeast Asia| South and South East Asia"
"Latvia","LVA","Former USSR| OECD Europe| European Union and United Kingdom"
"Lebanon","LBN","Middle East"
"Lesotho","LSO","Southern Africa"
"Liberia","LBR","West Africa"
"Libya","LBY","North Africa"
"Lithuania","LTU","Former USSR| European Union and United Kingdom"
"Luxembourg","LUX","OECD Europe| European Union and United Kingdom"
"Macao","MAC","Southeast Asia| South and South East Asia"
"Macedonia, the former Yugoslav Republic of","MKD","North Macedonia"
"Madagascar","MDG","East Africa"
"Malawi","MWI","East Africa| Malawi"
"Malaysia","MYS","Southeast Asia| South and South East Asia"
"Maldives","MDV","South Asia"
"Mali","MLI","West Africa| Mali"
"Malta","MLT","European Union and United Kingdom"
"Marshall Islands","MHL","Oceania"
"Mauritania","MRT","West Africa"
"Mauritius","MUS","East Africa"
"Mayotte","MYT","East Africa"
"Mexico","MEX","Central America"
"Micronesia, Federated States of","FSM","Oceania"
"Moldova, Republic of","MDA","Eastern Europe| Former USSR"
"Mongolia","MNG","East Asia| Southeast Asia| South and South East Asia"
"Morocco","MAR","North Africa"
"Myanmar","MMR","Southeast Asia| South and South East Asia"
"Namibia","NAM","Southern Africa"
"Nauru","NRU","Oceania"
"Nepal","NPL","South Asia"
"Netherlands","NLD","OECD Europe| European Union and United Kingdom"
"New Caledonia","NCL","Oceania"
"New Zealand","NZL","Oceania"
"Nicaragua","NIC","Central America"
"Niger","NER","West Africa"
"Nigeria","NGA","West Africa"
"Niue","NIU","Oceania"
"Norfolk Island","NFK","Oceania"
"Northern Mariana Islands","MNP","Oceania"
"Norway","NOR","OECD Europe"
"Oman","OMN","Middle East"
"Pakistan","PAK","South Asia"
"Palau","PLW","Oceania"
"Palestinian Territory, Occupied","PSE","Middle East"
"Panama","PAN","Central America"
"Paraguay","PRY","South America"
"Peru","PER","South America"
"Philippines","PHL","Southeast Asia| South and South East Asia"
"Pitcairn","PCN","Oceania"
"Poland","POL","Eastern Europe| OECD Europe| European Union and United Kingdom"
"Portugal","PRT","Oceania| OECD Europe| European Union and United Kingdom"
"Qatar","QAT","Middle East"
"R<e9>union",NA,"East Africa"
"Romania","ROU","Eastern Europe| European Union and United Kingdom"
"Russia","RUS","Eastern Europe| Former USSR"
"Rwanda","RWA","East Africa"
"Saint Helena, Ascension and Tristan da Cunha","SHN","West Africa"
"Samoa","WSM","Oceania"
"Saudi Arabia","SAU","Middle East"
"Senegal","SEN","West Africa"
"Seychelles","SYC","East Africa"
"Sierra Leone","SLE","West Africa"
"Singapore","SGP","Southeast Asia| South and South East Asia"
"Slovakia","SVK","Eastern Europe| OECD Europe| European Union and United Kingdom"
"Slovenia","SVN","European Union and United Kingdom"
"Solomon Islands","SLB","Oceania"
"Somalia","SOM","East Africa"
"South Africa","ZAF","Southern Africa"
"South Korea","KOR","East Asia| Southeast Asia| South and South East Asia"
"South Sudan","SSD","East Africa| North Africa"
"Spain","ESP","OECD Europe| European Union and United Kingdom"
"Sri Lanka","LKA","South Asia"
"Sudan","SDN","North Africa"
"Swaziland","SWZ","Southern Africa"
"Sweden","SWE","OECD Europe| European Union and United Kingdom"
"Switzerland","CHE","OECD Europe"
"Syrian Arab Republic","SYR","Middle East"
"Taiwan","TWN","East Asia| Southeast Asia| South and South East Asia"
"Tajikistan","TJK","Former USSR"
"Tanzania, United Republic of","TZA","East Africa"
"Thailand","THA","Southeast Asia| South and South East Asia"
"Timor-Leste","TLS","Southeast Asia| South and South East Asia"
"Togo","TGO","West Africa"
"Tokelau","TKL","Oceania"
"Tonga","TON","Oceania"
"Tunisia","TUN","North Africa"
"Turkey","TUR","Middle East"
"Turkmenistan","TKM","Former USSR"
"Tuvalu","TUV","Oceania"
